"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DIELECTRIC";"DNP";"HEIGHT";"HOUSEPART";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"PACKAGE";"POPULARITY";"POPULATE";"PRICE";"PROD_ID";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SF_ID";"SPICEPREFIX";"TOLERANCE";"URL";"VALUE";"VOLTAGE";"WATTAGE";
"ANT";"PRO-OB-440";"PRO-OB-440";"PRO-OB-440_1";"OnBoard SMD  2400 antenna";"";"OnBoard SMD  2400 antenna";"";"";"mm";"";"Proant AB";"PRO-OB-440";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BATTERY1";"";"JST_2MM_MALE";"JST-2-SMD";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-11443";"";"";"PRT-08612";"";"";"";"";"";"";
"BME280";"BME280";"BME280";"PSON65P250X250X100-8N";"DIGITAL HUMIDITY, PRESSURE AND TEMPERATURE SENSOR* Digital interface I²C (up to 3.4 MHz) and SPI (3 and 4 wire, up to 10 MHz)* Supply voltage VDD main supply voltage range: 1.71 V to 3.6 V*VDDIO interface voltage range: 1.2 V to 3.6 V";"Unavailable";" Integrated pressure, humidity and temperature sensor";" 8-pin 2.5x2.5x0.93mm LGA ";"";"";"";"";"";"";"Bosch";"";"";"BME280";"";"LGA-8 Bosch";"";"";"None";"";"";"";"";"";"";"";"";"";
"C1";"4.7pF";"4.7PF-0603-50V-5%";"C0603";"4.7pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07880";"";"";"";"";"";"";"4.7pF";"";"";
"C2";"4.7pF";"4.7PF-0603-50V-5%";"C0603";"4.7pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07880";"";"";"";"";"";"";"4.7pF";"";"";
"C3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"C0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"";"";"";"";"0.1uF";"";"";
"C4";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"C0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"";"";"";"";"0.1uF";"";"";
"C5";"47pF";"47PF-0603-50V-5%";"C0603";"47pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08913";"";"";"";"";"";"";"47pF";"";"";
"C6";"47pF";"47PF-0603-50V-5%";"C0603";"47pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08913";"";"";"";"";"";"";"47pF";"";"";
"C7";"10uF";"2.2UF-0603-10V-20%";"C0603";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07888";"";"";"";"";"";"";"2.2uF";"";"";
"C8";"10uF";"4.7PF-0603-50V-5%";"C0603";"4.7pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07880";"";"";"";"";"";"";"4.7pF";"";"";
"C9";"10uF";"CAPACITOR_NP_1206";"C1206";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C10";"0.1uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C11";"22uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C12";"22uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C13";"10pF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C14";"0.1uF";"0.1UF-0603-25V-5%";"C0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"";"";"0.1uF";"";"";
"C15";"0.1uF";"0.1UF-0603-25V-5%";"C0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"";"";"0.1uF";"";"";
"C16";"10uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C17";"4.7uF";"0.1UF-0603-25V-5%";"C0603";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"";"";"0.1uF";"";"";
"C18";"10pF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C19";"4.7uF";"4.7UF-0603-6.3V-(10%)";"C0603";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"";"";"";"4.7uF";"";"";
"C23";"10uF";"10UF-0603-6.3V-20%";"C0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"";"10uF";"";"";
"C24";"10uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C25";"1uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C26";"1uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C27";"10uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C28";"10uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C29";"22uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C30";"22uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C31";"33pF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C32";"330pF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C33";"10pF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C34";"0.47uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C35";"0.1uF";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";
"C36";"4.7uF";"4.7UF-0603-6.3V-(10%)";"C0603";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"";"";"";"4.7uF";"";"";
"C37";"4.7uF";"4.7UF-0603-6.3V-(10%)";"C0603";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"";"";"";"4.7uF";"";"";
"C38";"10uF";"4.7PF-0603-50V-5%";"C0603";"4.7pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07880";"";"";"";"";"";"";"4.7pF";"";"";
"C39";"10uF";"10UF-0603-6.3V-20%";"C0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"";"";"10uF";"";"";
"C40";"0.1uF";"4.7UF-0603-6.3V-(10%)";"C0603";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"";"";"";"4.7uF";"";"";
"D1";"MF-LED-0603-RED";"LED_SINGLE-0603-RED";"LED0603";"Library:  MF_LEDs";"";"";"";"";"";"YES";"";"";"";"";"";"";"MF-LED-0603-RED";"";"";"1";"";"";"";"";"";"";"";"https://factory.macrofab.com/part/MF-LED-0603-RED";"MF-LED-0603-RED";"";"";
"D4";"MF-LED-3228-RGB";"LED_RGB_CA_PLCC4";"PLCC4";"Library:  MF_LEDs";"";"";"";"";"";"YES";"";"";"";"";"";"";"MF-LED-3228-RGB";"";"";"1";"";"";"";"";"";"";"";"https://factory.macrofab.com/part/MF-LED-3228-RGB";"MF-LED-3228-RGB";"";"";
"ESP32-PICO-D4";"ESP32-PICO-D4";"ESP32-PICO-D4";"PQFN50P700X700X104-49N";"The ESP32-PICO-D4 is a System-in-Package (SIP) module that is based on ESP32, providing complete Wi-Fi";"Unavailable";" WIFi/Bluetooth SIP ";"";"";"";"";"";"";"Espressif Systems";"";"";"ESP32-PICO-D4";"";"SMD-48 Espressif Systems";"";"";"None";"";"";"";"";"";"";"";"";"";"";
"FLASH";"MF-SW-TACT-4.2MM";"TACT_4.2MM";"TACT4.2MM";"Library:  MF_Switches";"";"";"";"";"";"YES";"";"";"";"";"";"";"MF-SW-TACT-4.2MM";"";"";"1";"";"";"";"";"";"";"";"https://factory.macrofab.com/part/MF-SW-TACT-4.2MM";"MF-SW-TACT-4.2MM";"";"";
"FT231";"FT231XS";"FT231XS-UTSSOP20";"TSSOP20";"USB Full Speed to Full Handshake UART with USB Charger Detection, SSOP-20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"F";"";"";"";"";"";
"J1";"MF-CON-MICROUSB-RIGHT";"USB_MICRO_RIGHT";"MICROUSB-RIGHT";"Library:  MF_Connectors";"";"";"";"";"";"YES";"";"";"";"";"";"";"MF-CON-MICROUSB-RIGHT";"";"";"1";"";"";"";"";"";"";"";"https://factory.macrofab.com/part/MF-CON-MICROUSB-RIGHT";"MF-CON-MICROUSB-RIGHT";"";"";
"J2";"GPS Port";"CONN_06LOCK";"1X06_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"";"CONN_03LOCK";"1X03_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J4";"";"CONN_03LOCK";"1X03_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"SOLDER_PAD_2";"SOLDER_PAD_2";"SOLDER_PAD_2";"Solder Pad for LuMini Rings";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J6";"";"CONN_01";"1X01";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J7";"";"CONN_01";"1X01";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J8";"";"CONN_06LOCK";"1X06_LOCK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"30Ω/1.8A";"FERRITE_BEAD-0603";"L0603";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"";"";"";"744761016C";"";"";"";"";"NDUC-13805";"";"";"";"";"";"";"30Ω/1.8A";"";"";
"L2";"3.3uH";"LPS4018-472MRB";"INDP_LPS4018-472MRB";"Power inductor, shielded, 20/30% tol, SMT, RoHS, lead-free, halogen-free";"Unavailable";" Power inductor, shielded, 20/30% tol, SMT, RoHS, lead-free, halogen-free ";"";"";"";"";"";"";"Coilcraft";"";"";"LPS4018-472MRB";"LPS4018-472MRB";"None";"";"";"None";"";"";"";"";"";"";"";"";"";"";
"L3";"2.2uH";"INDUCTOR_1210";"L1210";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"L1210R2R2MDWIT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L4";"4.7uH";"INDUCTOR_1210";"L1210";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"L1210R4R7MDWIT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
